## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| 17 | Ismaila Coulibaly | Gelandang Tengah | 23 | Mali | RAAL La Louvière | €1.00m |
| 23 | Ben Osborn | Gelandang Tengah | 29 | England | Stockport County | €1.00m |
| 4 | John Fleck | Gelandang Tengah | 32 | Scotland | Tanpa Klub | €900k |
| 24 | Oliver Arblaster | Gelandang Tengah | 20 | England | Sheffield United | €450k |
| - | Sydie Peck | Gelandang Tengah | 19 | England | Sheffield United | €200k |
| - | Billy Blacker | Gelandang Tengah | 18 | England | Sheffield United U21 | €100k |
| - | Owen Hampson | Gelandang Tengah | 19 | Wales/England | Hartlepool United | - |
| 28 | James McAtee | Gelandang Serang | 21 | England | Nottingham Forest | €12.00m |
| 25 | Anis Ben Slimane | Gelandang Serang | 23 | Tunisia/Denmark | Norwich City | €2.50m |
| 11 | Bénie Traoré | Sayap Kiri | 21 | Cote d'Ivoire | New York City FC | €4.00m |
| - | Louie Marsh | Second Striker | 19 | England | Sheffield United | €100k |
| 10 | Cameron Archer | Penyerang Tengah | 22 | England/Jamaica | Southampton FC | €13.00m |
| 11 | Ben Brereton Díaz | Penyerang Tengah | 25 | Chile/England | Southampton FC | €8.00m |
| 9 | Oli McBurnie | Penyerang Tengah | 28 | Scotland/England | Hull City | €4.50m |
| 7 | Rhian Brewster | Penyerang Tengah | 24 | England/Barbados | Derby County | €3.00m |
| 32 | William Osula | Penyerang Tengah | 20 | Denmark/England | Newcastle United | €3.00m |
| 36 | Daniel Jebbison | Penyerang Tengah | 20 | Canada/England | AFC Bournemouth | €1.00m |
| - | Antwoine Hackford | Penyerang Tengah | 20 | England/Trinidad & Tobago | AFC Wimbledon | €500k |
| - | Ryan Oné | Penyerang Tengah | 18 | Scotland/France | Sheffield United | €200k |

## Luton Town — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 24 | Thomas Kaminski | Kiper | 31 | Belgium/Poland | Charlton Athletic | €3.00m |
| 23 | Tim Krul | Kiper | 36 | Netherlands | Pensiun | €500k |
| - | Jack Walton | Kiper | 26 | England | Dundee United FC | €400k |
| 1 | James Shea | Kiper | 33 | England/Ireland | Luton Town | €200k |
| 15 | Teden Mengi | Bek Tengah | 22 | England/Angola | Luton Town | €12.00m |
| - | Tom Holmes | Bek Tengah | 24 | England | Luton Town | €3.50m |
| 2 | Gabriel Osho | Bek Tengah | 25 | Nigeria/England | Cardiff City | €3.00m |
| 5 | Mads Andersen | Bek Tengah | 26 | Denmark | Luton Town | €3.00m |
| 4 | Tom Lockyer | Bek Tengah | 29 | Wales | Melbourne Victory | €2.50m |
| 29 | Amari'i Bell | Bek Tengah | 30 | Jamaica/England | Charlton Athletic | €2.50m |
| 16 | Reece Burke | Bek Tengah | 27 | England | Charlton Athletic | €1.80m |
| 3 | Dan Potts | Bek Tengah | 30 | England | Tanpa Klub | €900k |
| - | Aidan Francis-Clarke | Bek Tengah | 19 | England | Wealdstone FC | - |
| - | Christian Chigozie | Bek Tengah | 16 | England/Nigeria | Luton Town U21 | - |
| 26 | Ryan Giles | Bek Kiri | 24 | England | Hull City | €4.50m |
| - | Joe Johnson | Bek Kiri | 18 | England | Luton Town | €100k |
| 12 | Issa Kaboré | Bek Kanan | 23 | Burkina Faso | Wrexham AFC | €10.00m |
| 27 | Daiki Hashioka | Bek Kanan | 25 | Japan | Borussia Mönchengladbach | €2.00m |
| 13 | Marvelous Nakamba | Gelandang Bertahan | 30 | Zimbabwe | Panetolikos | €5.00m |
| 17 | Pelly Ruddock Mpanzu | Gelandang Bertahan | 30 | DR Congo/England | Cambridge United | €1.50m |
| - | Dominic Martins | Gelandang Bertahan | 18 | Portugal/England | Portadown FC | - |
| 28 | Albert Sambi Lokonga | Gelandang Tengah | 24 | Belgium/DR Congo | Hamburger SV | €15.00m |
| 6 | Ross Barkley | Gelandang Tengah | 30 | England | Aston Villa | €8.00m |
