## Burnley FC — Musim 23/24

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
| 30 | Terence Kongolo | Bek Tengah | 27 | Netherlands/DR Congo | Pensiun | €3.50m |
| 20 | Maxime Le Marchand | Bek Tengah | 31 | France | Pensiun | €1.50m |
| 4 | Denis Odoi | Bek Tengah | 33 | Ghana/Belgium | Club NXT | €600k |
| 13 | Tim Ream | Bek Tengah | 33 | United States | Charlotte FC | €600k |
| 33 | Antonee Robinson | Bek Kiri | 23 | United States/England | Fulham FC | €7.00m |
| 23 | Joe Bryan | Bek Kiri | 27 | England | Pensiun | €5.00m |
| 34 | Ola Aina | Bek Kanan | 24 | Nigeria/England | Nottingham Forest | €6.00m |
| 2 | Kenny Tete | Bek Kanan | 25 | Netherlands/Mozambique | Fulham FC | €5.00m |
| - | Steven Sessegnon | Bek Kanan | 21 | England/Benin | AFC Wimbledon | €2.00m |
| 22 | Cyrus Christie | Bek Kanan | 28 | Ireland/England | Bolton Wanderers | €1.50m |
| 18 | Mario Lemina | Gelandang Bertahan | 27 | Gabon/France | Galatasaray | €10.00m |
| 24 | Jean Michaël Seri | Gelandang Bertahan | 29 | Cote d'Ivoire | NK Maribor | €4.00m |
| 6 | Kevin McDonald | Gelandang Bertahan | 32 | Scotland | Tanpa Klub | €800k |
| 29 | Frank Anguissa | Gelandang Tengah | 25 | Cameroon | SSC Napoli | €25.00m |
| 15 | Ruben Loftus-Cheek | Gelandang Tengah | 25 | England/Guyana | AC Milan | €18.00m |
| 21 | Harrison Reed | Gelandang Tengah | 26 | England | Fulham FC | €10.00m |
| 10 | Tom Cairney | Gelandang Tengah | 30 | Scotland/England | Fulham FC | €9.00m |
| 25 | Josh Onomah | Gelandang Tengah | 24 | England/Nigeria | Tanpa Klub | €6.00m |
| 8 | Stefan Johansen | Gelandang Tengah | 30 | Norway | Pensiun | €2.00m |
| 35 | Tyrese Francois | Gelandang Tengah | 20 | Australia/England | Tanpa Klub | €150k |
| 14 | Bobby De Cordova-Reid | Gelandang Serang | 28 | Jamaica/England | Leicester City | €10.00m |
| 48 | Fábio Carvalho | Gelandang Serang | 18 | Portugal | Brentford FC | €250k |
| 19 | Ademola Lookman | Sayap Kiri | 23 | Nigeria/England | Atlético de Madrid | €11.00m |
| 17 | Ivan Cavaleiro | Sayap Kiri | 27 | Angola/Portugal | CA Petróleos Luanda | €7.00m |
| 7 | Neeskens Kebano | Sayap Kiri | 29 | DR Congo/France | Tanpa Klub | €1.00m |
| 58 | Sylvester Jasper | Sayap Kiri | 19 | Bulgaria/Nigeria | Standard Liège | €250k |
| 11 | Anthony Knockaert | Sayap Kanan | 29 | France/Belgium | Stade Mouscronnois | €3.00m |
| 9 | Aleksandar Mitrović | Penyerang Tengah | 26 | Serbia | Al-Rayyan SC | €16.00m |
| 27 | Josh Maja | Penyerang Tengah | 22 | Nigeria/England | Le Havre AC | €5.00m |
| 47 | Aboubakar Kamara | Penyerang Tengah | 26 | Mauritania/France | Tanpa Klub | €2.00m |

## Leeds United — Musim 20/21

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 1 | Illan Meslier | Kiper | 21 | France | Arsenal FC | €20.00m |
| 13 | Kiko Casilla | Kiper | 34 | Spain | Pensiun | €800k |
| 25 | Elia Caprile | Kiper | 19 | Italy | Cagliari Calcio | €200k |
| 14 | Diego Llorente | Bek Tengah | 27 | Spain | Real Betis | €20.00m |
| 5 | Robin Koch | Bek Tengah | 24 | Germany | Eintracht Frankfurt | €17.00m |
| 21 | Pascal Struijk | Bek Tengah | 21 | Netherlands/Belgium | Brighton & Hove Albion | €9.00m |
| 6 | Liam Cooper | Bek Tengah | 29 | Scotland/England | Sheffield Wednesday | €7.00m |
| 49 | Oliver Casey | Bek Tengah | 20 | England | Blackpool FC | €250k |
| 35 | Charlie Cresswell | Bek Tengah | 18 | England | Stade Rennais FC | €200k |
| 10 | Ezgjan Alioski | Bek Kiri | 29 | N. Macedonia/Switzerland | FC Lugano | €5.00m |
| 3 | Barry Douglas | Bek Kiri | 31 | Scotland | Pensiun | €1.50m |
| 24 | Leif Davis | Bek Kiri | 21 | England | Ipswich Town | €800k |
| 2 | Luke Ayling | Bek Kanan | 29 | England | Middlesbrough FC | €5.00m |
| 46 | Jamie Shackleton | Bek Kanan | 21 | England | Sheffield United | €2.50m |
| 28 | Gaetano Berardi | Bek Kanan | 32 | Switzerland/Italy | Pensiun | €300k |
| 52 | Niall Huggins | Bek Kanan | 20 | Wales/England | Tanpa Klub | €200k |
| 37 | Cody Drameh | Bek Kanan | 19 | England/The Gambia | Hull City | - |
| 23 | Kalvin Phillips | Gelandang Bertahan | 25 | England/Jamaica | Sheffield United | €30.00m |
| 43 | Mateusz Klich | Gelandang Bertahan | 31 | Poland | Cracovia | €4.00m |
| - | Ouasim Bouy | Gelandang Bertahan | 28 | Morocco/Netherlands | Pensiun | €250k |
| 47 | Jack Jenkins | Gelandang Bertahan | 19 | England | Spennymoor Town | €150k |
| 4 | Adam Forshaw | Gelandang Tengah | 29 | England | Blackburn Rovers | €2.00m |
| 36 | Robbie Gotts | Gelandang Tengah | 21 | England | Doncaster Rovers | €250k |
| - | Eunan O'Kane | Gelandang Tengah | 30 | Ireland/N. Ireland | Pensiun | €200k |
| 34 | Alfie McCalmont | Gelandang Tengah | 21 | N. Ireland/England | Tanpa Klub | - |
| 15 | Stuart Dallas | Gelandang Kiri | 30 | N. Ireland | Pensiun | €4.00m |
| 44 | Mateusz Bogusz | Gelandang Serang | 19 | Poland | Houston Dynamo FC | €1.00m |
| 42 | Sam Greenwood | Gelandang Serang | 19 | England | Bristol City | €200k |
| 18 | Raphinha | Sayap Kiri | 24 | Brazil/Italy | FC Barcelona | €30.00m |
| 22 | Jack Harrison | Sayap Kiri | 24 | England | New England Revolution | €15.00m |
| 38 | Crysencio Summerville | Sayap Kiri | 19 | Netherlands/Suriname | Al-Hilal SFC | €1.50m |
| 17 | Hélder Costa | Sayap Kanan | 27 | Angola/Portugal | CA Petróleos Luanda | €10.00m |
| 7 | Ian Poveda | Sayap Kanan | 21 | Colombia/England | Atlético Nacional | €1.50m |
| 19 | Pablo Hernández | Sayap Kanan | 36 | Spain | Pensiun | €800k |
| 11 | Tyler Roberts | Second Striker | 22 | Wales/England | Mansfield Town | €6.00m |
| 9 | Patrick Bamford | Penyerang Tengah | 27 | England/Ireland | Sheffield United | €22.00m |
| 20 | Rodrigo | Penyerang Tengah | 30 | Spain/Brazil | Lusail SC | €18.00m |
| 30 | Joe Gelhardt | Penyerang Tengah | 19 | England | Hull City | €1.30m |
| - | Jordan Stevens | Penyerang Tengah | 21 | England | Ilkeston Town FC | €200k |

## West Bromwich Albion — Musim 20/21

| # | Pemain | Posisi | Usia | Kebangsaan | Klub Saat Ini | Nilai Pasar |
|---|--------|--------|------|------------|----------------|-------------|
| 1 | Sam Johnstone | Kiper | 28 | England | Wolverhampton Wanderers | €8.00m |
| 25 | David Button | Kiper | 32 | England | Ipswich Town | €1.00m |
| - | Jonathan Bond | Kiper | 28 | England/United States | Houston Dynamo FC | €250k |
| - | Alex Palmer | Kiper | 24 | England | Ipswich Town | €250k |
| 31 | Andy Lonergan | Kiper | 37 | England | Pensiun | €250k |
| 6 | Semi Ajayi | Bek Tengah | 27 | Nigeria/England | Hull City | €6.00m |
| 26 | Ahmed Hegazy | Bek Tengah | 30 | Egypt | Pensiun | €4.00m |
| 27 | Dara O'Shea | Bek Tengah | 22 | Ireland | Ipswich Town | €3.00m |
| 5 | Kyle Bartley | Bek Tengah | 30 | England/Jamaica | Pensiun | €2.50m |
| 24 | Cédric Kipré | Bek Tengah | 24 | Cote d'Ivoire/France | Ipswich Town | €1.00m |
| 49 | Caleb Taylor | Bek Tengah | 18 | England | Millwall FC | - |
| 3 | Kieran Gibbs | Bek Kiri | 31 | England | Pensiun | €2.50m |
| 14 | Conor Townsend | Bek Kiri | 28 | England | West Bromwich Albion | €2.00m |
| 40 | George Harmon | Bek Kiri | 20 | England | Brackley Town | - |
| 30 | Ainsley Maitland-Niles | Bek Kanan | 23 | England/Jamaica | Olympique Lyon | €16.00m |
| 2 | Darnell Furlong | Bek Kanan | 25 | England/Montserrat | Ipswich Town | €5.00m |
| 20 | Branislav Ivanovic | Bek Kanan | 37 | Serbia | Pensiun | €500k |
| 22 | Lee Peltier | Bek Kanan | 34 | England/Antigua | Pensiun | €400k |
| 35 | Okay Yokuşlu | Gelandang Bertahan | 27 | Türkiye | Trabzonspor | €7.50m |
| - | Filip Krovinovic | Gelandang Bertahan | 25 | Croatia | Grêmio | €3.00m |
| 8 | Jake Livermore | Gelandang Bertahan | 31 | England | Pensiun | €2.50m |
| 28 | Sam Field | Gelandang Bertahan | 23 | England | Norwich City | €1.00m |
| 45 | Taylor Gardner-Hickman | Gelandang Bertahan | 19 | England/Ireland | Birmingham City | - |
| 18 | Conor Gallagher | Gelandang Tengah | 21 | England | Tottenham Hotspur | €15.00m |
| 16 | Rekeem Harper | Gelandang Tengah | 21 | England/Jamaica | Barrow AFC | €2.50m |
| 19 | Romaine Sawyers | Gelandang Tengah | 29 | St. Kitts & Nevis/England | Tanpa Klub | €2.00m |
| 51 | Toby King | Gelandang Tengah | 19 | England | Pensiun | - |
| 61 | Tim Iroegbunam | Gelandang Tengah | 18 | England/Nigeria | Everton FC | - |
| 12 | Matheus Pereira | Gelandang Serang | 25 | Brazil/Portugal | Cruzeiro | €15.00m |
| 39 | Rico Richards | Gelandang Serang | 17 | England | Southend United | - |
| 13 | Kamil Grosicki | Sayap Kiri | 33 | Poland | Pogon Szczecin | €1.00m |
| 21 | Kyle Edwards | Sayap Kiri | 23 | England | Tanpa Klub | €1.00m |
| 11 | Grady Diangana | Sayap Kanan | 23 | DR Congo/England | Elche CF | €10.00m |
| 10 | Matt Phillips | Sayap Kanan | 30 | Scotland/England | Tanpa Klub | €4.00m |
| 23 | Robert Snodgrass | Sayap Kanan | 33 | Scotland | Pensiun | €1.50m |
| 29 | Karlan Grant | Penyerang Tengah | 23 | England/Scotland | Charlton Athletic | €8.00m |
| 7 | Callum Robinson | Penyerang Tengah | 26 | Ireland/England | Cardiff City | €6.00m |
| 17 | Mbaye Diagne | Penyerang Tengah | 29 | Senegal | Amed SK | €3.00m |
| - | Kenneth Zohore | Penyerang Tengah | 27 | Denmark/Cote d'Ivoire | BK Fremad Amager | €2.00m |
| 15 | Charlie Austin | Penyerang Tengah | 31 | England | Hungerford Town | €2.00m |
| 4 | Hal Robson-Kanu | Penyerang Tengah | 32 | Wales/England | Pensiun | €1.50m |
| 32 | Jamie Soule | Penyerang Tengah | 20 | England | Rushall Olympic | - |
| 58 | Cheikh Diaby | Penyerang Tengah | 21 | France/Senegal | Tanpa Klub | - |
